CATEGORIA,NOMBRE,PORTADA,LINK
LIBROS,23. EL PODER DEL METABOLISMO RECETAS FRANK SUAREZ,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D18ZRxkMg0lvqP96NquDPZPGl-jXVgZfcG%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/18ZRxkMg0lvqP96NquDPZPGl-jXVgZfcG/view?pli=1
LIBROS,24. SUPERPOTENCIAS DE LA INTELIGENCIA ARTIFICIAL,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D12ijAh1j31BCd15yA53l4tEzn-F2OLAk_%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/12ijAh1j31BCd15yA53l4tEzn-F2OLAk_/view?fbclid=IwY2xjawLvWTNleHRuA2FlbQIxMABicmlkETF2eE5STnhCcXJKUE9LV2ZOAR49shoA_CFfoHLqkWwpyyL76rlfVEgMU4UPqg4dtZYhGj0V8iacRsYko6DIrA_aem_Wo2NestEI4vT0sxUoKhKAg
LIBROS,25. EL CHICO A QUIEN CRIAR,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D13J0-K6Gu4TJqBZ1MWm7RDTM2ammR3w-M%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/13J0-K6Gu4TJqBZ1MWm7RDTM2ammR3w-M/view?fbclid=IwY2xjawLtLFRleHRuA2FlbQIxMABicmlkETFxODRBbmlqNVhSRmdNQXk1AR5aYO5gHDlq_wY9-1gUmwpM-7kowTxGCgPloCmRxr441lzIJIc9Z0fMA8D5SA_aem_ZmFrZWR1bW15MTZieXRlcw
LIBROS,26. FILOSOFÍAS DEL SUR,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1wtssHTAivrOy4-aEOtmrGCgJfDuZ4ykv%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1wtssHTAivrOy4-aEOtmrGCgJfDuZ4ykv/view?fbclid=IwY2xjawLtMytleHRuA2FlbQIxMABicmlkETFxODRBbmlqNVhSRmdNQXk1AR5SGFMayWM3yQtmRE7cSCqmk6JgVIyFVc383dGvoAxifU41SnRphXd3afvvZQ_aem_ZmFrZWR1bW15MTZieXRlcw
LIBROS,27. FLUIR-EN-EL-SIN-YO-JACOBO-GRINBERG-ZYLBERBAUM,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D0B6x1gOyDXzWndnRWZ3VuemVtS1U%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/0B6x1gOyDXzWndnRWZ3VuemVtS1U/view?resourcekey=0-gF9LBJCRDSQaPm4ZLyzEBQ
LIBROS,28. EL GRAN LIBRO DE LOS TEST PSICOTÉCNICOS,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1owc2iOjxqv0dKUHl2JmBxKbEQRadOkT6%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1owc2iOjxqv0dKUHl2JmBxKbEQRadOkT6/view?fbclid=IwY2xjawLwjZ1leHRuA2FlbQIxMABicmlkETFMdEY3V2ZNTEFSV1U2b0VPAR7auyPbfJkI_EgpHrIMYTGNSzN3h62--vTXJaBXaE1xTbRSajc6vvWr57RYIg_aem_pD9K7OgSknp_xbjWMjbptg
LIBROS,29. ALGUNOS LIBROS EN ESPAÑOL,ERROR: no se detectó ID de Drive,https://drive.google.com/drive/folders/0B278xFAoqz8hbTd6bFRQTjlOdlE?resourcekey=0-xen563rRwW_jMqPEU6Fj3Q&fbclid=IwY2xjawLwjgRleHRuA2FlbQIxMABicmlkETFMdEY3V2ZNTEFSV1U2b0VPAR6XhIKSDKGATB5zHONfYo8RvSY4kmPMC25DMkgK9mutvn9CIsfYZcvicrts5A_aem_LN53nprvZed6pyvlW-kacQ
LIBROS,30. EL HOMBRE MEDIOCRE,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D12HYVCVDAaHLTkaitwVkSkWVKQKTALAl_%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/12HYVCVDAaHLTkaitwVkSkWVKQKTALAl_/view?fbclid=IwY2xjawLwjr9leHRuA2FlbQIxMABicmlkETFMdEY3V2ZNTEFSV1U2b0VPAR4-cpvpJNZLZNVqO-U58TeCbArZ0ct_TqEPRov8TqilxNw3RNA_Jp5ZVaDoJw_aem_qWBpG9EK1aTZBrKF-xYebg
LIBROS,31. TE VAS A MORIR Y TODAVÍA NO HAS EMPEZADO A VIVIR,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D13MmX1JgaJ0pMDCfJzuvjMDNgq96wXbWp%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/13MmX1JgaJ0pMDCfJzuvjMDNgq96wXbWp/view?fbclid=IwY2xjawLwjyhleHRuA2FlbQIxMABicmlkETFMdEY3V2ZNTEFSV1U2b0VPAR4-cpvpJNZLZNVqO-U58TeCbArZ0ct_TqEPRov8TqilxNw3RNA_Jp5ZVaDoJw_aem_qWBpG9EK1aTZBrKF-xYebg
LIBROS,32. ARMAS GERMENES Y ACERO,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D12jV2nZL01CRQ5cFjMl_DyYHx-XrnlhND%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/12jV2nZL01CRQ5cFjMl_DyYHx-XrnlhND/view?fbclid=IwY2xjawLwj2JleHRuA2FlbQIxMABicmlkETFMdEY3V2ZNTEFSV1U2b0VPAR4-cpvpJNZLZNVqO-U58TeCbArZ0ct_TqEPRov8TqilxNw3RNA_Jp5ZVaDoJw_aem_qWBpG9EK1aTZBrKF-xYebg
LIBROS,33. SUPERPOTENCIAS DE LA INTELIGENCIA ARTIFICIAL,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D12ijAh1j31BCd15yA53l4tEzn-F2OLAk_%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/12ijAh1j31BCd15yA53l4tEzn-F2OLAk_/view?fbclid=IwY2xjawLwj4hleHRuA2FlbQIxMABicmlkETFMdEY3V2ZNTEFSV1U2b0VPAR7nd_fggwiA29jIRV6-2yLaanZStxuMdq0Elamdt7f0kkNBmQU8MTJb7ukBpQ_aem_SU9TeO4XYF68NJxYDdf0QA
LIBROS,34. LA INTELIGENCIA REFORMULADA,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D13piTcf7XUYNGJjfK0uT0KwayumapnJxI%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/13piTcf7XUYNGJjfK0uT0KwayumapnJxI/view?fbclid=IwY2xjawLw8O5leHRuA2FlbQIxMABicmlkETFQSXdhU2Fic3FGY0JWem0zAR7BiVdzlxQrRG7Y6BIh5JY0scwIgX0n2ux-GpUN7LfsomXL9REOJlqGcM0jzA_aem_I0UwuMA13a92f4IEtDYCPg
LIBROS,35. METÁFORAS SOSPECHOSAS,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1Rkk7G0pcPIMnbCsgftWyJ5Ag14yhH5zO%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1Rkk7G0pcPIMnbCsgftWyJ5Ag14yhH5zO/view?fbclid=IwY2xjawMAU-dleHRuA2FlbQIxMABicmlkETFVZ2x4NkpmVkN5U1A5WjA3AR6Da5YonKhklCpVPb1bdTQRKQohL1z5htO2dM9mnDCLya1ANShNiugVZHna3g_aem_vKNsmej71R-l65_T6xK7BQ
LIBROS,36. CRONICAS DEL GATO VIAJERO,ERROR: no se detectó ID de Drive,https://drive.google.com/drive/folders/1FE0CgUi1BoRQMzrUykvBxgI9yyvWBzL6?fbclid=IwY2xjawMAVOhleHRuA2FlbQIxMABicmlkETFMUm54SmxUWEZFVEtlOFpWAR7Cx95hj_nqX70W0MR8oO4s2d-xfv449PmYJt_kYU7ZLBYwDHZe-5M-P4fwdQ_aem_DueIN6mlUTKzwJZQiSpeFQ
LIBROS,37. OBTETRICIA,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1DzlFrqAzR_c6vtu_TRkUOAyhHjtFD1bA%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1DzlFrqAzR_c6vtu_TRkUOAyhHjtFD1bA/edit?fbclid=IwY2xjawMAVTBleHRuA2FlbQIxMABicmlkETFMUm54SmxUWEZFVEtlOFpWAR6ilMl0uC4TtnWHd9xLPEs1De-o1Kk0yOSNb9DtWgJV7iakkdWGwKMKY7W3Hg_aem_UkSHFsUuhJL2k_3_zeUjmw
LIBROS,38. CALCULO INFINITISIMAL,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D11s_Su61HYAOVEc736wMWZV_5nDu7e-q0%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/11s_Su61HYAOVEc736wMWZV_5nDu7e-q0/view?fbclid=IwY2xjawMAVUNleHRuA2FlbQIxMABicmlkETFMUm54SmxUWEZFVEtlOFpWAR7Cx95hj_nqX70W0MR8oO4s2d-xfv449PmYJt_kYU7ZLBYwDHZe-5M-P4fwdQ_aem_DueIN6mlUTKzwJZQiSpeFQ
LIBROS,39. AL FINAL MUERE EL PRIMERO /EPUB,ERROR: no se detectó ID de Drive,https://drive.google.com/drive/folders/1cMhSyDz-csK49wZznl7cHkc6erAoyzjW?fbclid=IwY2xjawMAYDZleHRuA2FlbQIxMABicmlkETFseE5lWWMzcVVnTm1qdnQyAR5ZXeLbnXl3MClSoy4NSbE2v-Yb8l85rllHFwZIld1E56hIjgvmLS958yByGg_aem_qqE2bdCjwIF86OcXoI32Lw
LIBROS,40. LA EDUCACION FUNIONAL,ERROR: no se detectó ID de Drive,https://drive.google.com/drive/folders/1HoAPXh0DehRjrASoi74jxFgxLCDr7Mne?fbclid=IwY2xjawMAYP5leHRuA2FlbQIxMABicmlkETFseE5lWWMzcVVnTm1qdnQyAR7RI4frah_SSRLGBHsO5NYzub6yQJMSxMzuWZA18Tp9ep4_nDShaYsChFOarQ_aem_eNhgqgsQHHFIjgek6ab_fw
